CTR_EL0,RO,32,Cache Type Register
DCZID_EL0,RO,32,Data Cache Zero ID Register
TPIDR_EL0,RW,64,Thread Pointer/ID Register
TPIDRRO_EL0,RW/RO,64,Thread Pointer/ID Register
CNTFRQ_EL0,RW/RO,32,Counter-timer Frequency register
CNTPCT_EL0,RO,64,Counter-timer Physical Count register
CNTVCT_EL0,RO,64,Counter-timer Virtual Count register
CNTP_TVAL_EL0,RW,32,Counter-timer Physical Timer TimerValue register
CNTP_CTL_EL0,RW,32,Counter-timer Physical Timer Control register
CNTP_CVAL_EL0,RW,64,Counter-timer Physical Timer CompareValue register
CNTV_TVAL_EL0,RW,32,Counter-timer Virtual Timer TimerValue register
CNTV_CTL_EL0,RW,32,Counter-timer Virtual Timer Control register
CNTV_CVAL_EL0,RW,64,Counter-timer Virtual Timer CompareValue register
